partNumber,depth,height,length,weight
"B192-157,B192-157,024052783902","3.94","61.73","66.46","89"
"B192-158,B192-158,024052783919","3.94","61.73","82.95","106"
"B537-58,B537-58,024052514773","4","57","79.63","77"
"B553-131,B553-131,024052082746","20","39.13","74","304"
"B553-150,B553-150,024052270181","11.5","91","11.5","192.9"
"B553-151,B553-151,024052270198","11.5","91","11.5","182.54"
"B553-157,B553-157,024052270228","3.75","78","69.13","101.85"
"B553-158,B553-158,024052270235","4.13","78","85","119.05"
"B553-162,B553-162,024052270242","99.5","4.13","84.5","57.76"
"B553-172,B553-172,024052270259","5.5","45","71","102.96"
"B553-193,B553-193,024052082753","19.75","33.5","35.75","145"
"B553-194,B553-194,024052270266","87.75","17.31","79.5","53.57"
"B553-195,B553-195,024052270273","85.75","17","75","52.03"
"B553-196,B553-196,024052270280","83.81","17.38","62.75","46.52"
"B553-197,B553-197,024052270297","83.88","17.31","79.5","44.53"
"B553-199,B553-199,024052270303","81.88","17.75","79.25","55.12"
"B553-254,B553-254,024052082760","8.25","30","70.38","77"
"B553-256,B553-256,024052082777","8.25","30","86.75","80"
"B553-36,B553-36,024052266887","4.5","51.88","49.25","80.03"
"B553-46,B553-46,024052266894","19","54.25","44.75","219"
"B553-73,B553-73,024052061505","76.75","14.13","79.94","39.69"
"B553-74,B553-74,024052061512","11.25","36.13","68.88","67.25"
"B553-75,B553-75,024052061529","72.75","14","64.38","35.28"
"B553-76,B553-76,024052061536","11","36.63","85.25","85.98"
"B553-77,B553-77,024052061543","13","65","67.25","94.82"
"B553-78,B553-78,024052061550","13","65","83","108.05"
"B553-79,B553-79,024052061567","72.88","14.13","79.94","39.69"
"B603-74,B603-74,024052296976","77.13","11.63","68.63","78"
"B603-74S,B603-74S,024052514957","89.75","68.5","69","76"
"B603-76,B603-76,024052296990","77.25","11.75","84.75","78"
"B603-76S,B603-76S,024052514988","89.75","68.5","85.5","93"
"B603-77,B603-77,024052287486","8.75","68","68.75","72"
"B603-78,B603-78,024052287493","8.88","68.13","85","75"
"B603-94,B603-94,024052287509","81","11.5","85","90"
"B603-95,B603-95,024052514995","80.75","14.63","69","62.7"
"B603-96,B603-96,024052515046","76.75","14.63","69","55"
"B642-36,B642-36,024052438208","2.13","35.63","44","38"
"B642-54,B642-54,024052438222","3.38","26.13","64.88","41"
"B642-56,B642-56,024052438239","3.38","26.13","80.88","47"
"B642-57,B642-57,024052438246","3","62","64.88","60"
"B642-58,B642-58,024052438253","3","62","80.88","75"
"B642-94,B642-94,024052438277","86","16.5","79.13","48.5"
"B642-97,B642-97,024052438291","82","16.5","79.13","41.89"
"B672-36,B672-36,024052078305","2","30.81","41.13","29.7"
"B672-56,B672-56,024052078350","3.75","26","83.63","46.2"
"B672-58,B672-58,024052078374","7","62.25","82.06","90.2"
"B672-74,B672-74,024052106077","3.74","21.75","67.75","79.272"
"B672-76,B672-76,024052106084","3.88","21.75","83.5","90.282"
"B672-78,B672-78,024052106107","6.88","62.75","80.25","81.474"
"B672-94,B672-94,024052078398","85","14.5","79","52.8"
"B672-96,B672-96,024052078411","81.13","15","63","38.5"
"B672-97,B672-97,024052078428","81.13","14.63","79","42.9"
"B672-98,B672-98,024052106121","81","19","63.13","85.878"
"B672-99,B672-99,024052106138","81","19.13","79.25","94.686"
"B697-31,B697-31,024052078435","18","39.88","65.63","222"
"B697-36,B697-36,024052078442","1.75","36.5","42.25","35"
"B697-39,B697-39,024052078459","18.25","41","45","132"
"B697-46,B697-46,024052078473","18","58.06","39.75","212"
"B697-54,B697-54,024052078480","5.88","30.38","65.25","79"
"B697-56,B697-56,024052078497","5.75","30.25","83.75","95"
"B697-57,B697-57,024052078527","4.56","60.13","67.81","94"
"B697-58,B697-58,024052078534","4.5","60.25","83.63","114"
