part_number,instock_qty,restock_qty,restock_date,status,discontinued,instock
msj003xl,16,78,01-04-2024,active,yes,no
msj006xl,8,67,02-04-2024,enabled,yes,yes
msj006xs,7,53,03-04-2024,disabled,no,no
msj009xs,10,16,04-04-2024,active,yes,no
msj009xl,10,44,05-04-2024,active,yes,no
msj012xs,10,35,06-04-2024,inactive,yes,yes
msj012xl,14,69,07-04-2024,inactive,yes,no
msj015xs,24,39,08-04-2024,active,yes,no
msj015xl,24,13,09-04-2024,enabled,no,yes
wbk000xs,19,92,10-04-2024,active,yes,yes
wbk000xl,19,54,11-04-2024,active,no,no
wbk003xs,0,3,12-04-2024,active,no,yes
wbk003xl,8,4,13-04-2024,enabled,yes,yes
wbk006xs,0,1,14-04-2024,inactive,yes,no
wbk006xl,0,49,15-04-2024,disabled,yes,yes
wbk009xs,25,19,16-04-2024,active,yes,yes
wbk009xl,25,23,17-04-2024,inactive,yes,no
wbk012xs,13,63,18-04-2024,disabled,yes,yes
wbk012xl,15,89,19-04-2024,inactive,no,yes
wpd00526,10,3,20-04-2024,active,yes,yes
wpd00527,10,32,21-04-2024,active,yes,yes
wpd00528,10,100,22-04-2024,disabled,no,no
wpd00529,10,39,23-04-2024,active,yes,yes
wpd00530,10,33,24-04-2024,inactive,yes,no
wpd00531,10,70,25-04-2024,active,no,no
wpd00532,10,65,26-04-2024,enabled,no,no
wpd00026,13,23,27-04-2024,disabled,no,yes
wpd00027,2,93,28-04-2024,inactive,yes,no
wpd00028,13,96,29-04-2024,disabled,yes,no
wpd00029,12,98,30-04-2024,active,no,yes
wpd00030,13,47,01-05-2024,enabled,yes,yes
wpd00031,13,92,02-05-2024,inactive,no,yes
wpd00032,13,13,03-05-2024,inactive,no,yes
wpd01010,20,41,04-05-2024,active,no,yes
wpd0108,20,23,05-05-2024,active,no,yes
wpd0106,20,22,06-05-2024,inactive,no,no
wpd0104,20,50,07-05-2024,inactive,yes,no
wpd01012,20,67,08-05-2024,inactive,yes,no
wsd005xs,5,64,09-05-2024,active,yes,no
wsd005xl,15,22,10-05-2024,active,yes,no
Pmo000xs,32,12,11-05-2024,active,no,no
Pmo000s,33,85,12-05-2024,enabled,no,yes
Pmo000m,33,26,13-05-2024,active,no,yes
Pmo000l,33,80,14-05-2024,inactive,yes,yes
Pmo000xl,33,40,15-05-2024,active,no,no
Pmo001xs,33,27,16-05-2024,active,no,yes
Pmo001s,33,42,17-05-2024,active,yes,yes
Pmo001m,33,27,18-05-2024,disabled,yes,no
Pmo001l,33,62,19-05-2024,active,no,no
Pmo001xl,33,64,20-05-2024,enabled,yes,yes
Pmo002xs,33,49,21-05-2024,active,yes,no
Pmo002s,33,69,22-05-2024,active,no,no
Pmo002m,33,32,23-05-2024,active,yes,yes
Pmo002l,33,25,24-05-2024,active,no,yes
Pmo002xl,33,75,25-05-2024,active,no,no
Pmp00028,33,14,26-05-2024,inactive,yes,yes
Pmp00030,33,38,27-05-2024,active,yes,no
Pmp00031,33,57,28-05-2024,enabled,yes,no
Pmp00032,32,50,29-05-2024,active,yes,no
Pmp00034,33,75,30-05-2024,active,yes,no
Pmp00036,33,56,31-05-2024,active,yes,no
Pmp00038,33,40,01-06-2024,active,yes,yes
Pmp00128,33,74,02-06-2024,active,no,no
Pmp00130,33,79,03-06-2024,inactive,yes,no
Pmp00131,28,46,04-06-2024,active,no,yes
Pmp00132,33,55,05-06-2024,inactive,no,yes
Pmp00134,33,23,06-06-2024,active,no,yes
Pmp00136,33,40,07-06-2024,enabled,no,no
Pmp00138,33,86,08-06-2024,enabled,no,no
Pmp00228,33,45,09-06-2024,active,no,no
Pmp00230,33,90,10-06-2024,disabled,no,yes
Pmp00231,33,29,11-06-2024,inactive,no,yes
Pmp00232,33,82,12-06-2024,active,yes,no
Pmp00234,33,30,13-06-2024,active,yes,yes
Pmp00236,33,57,14-06-2024,disabled,no,no
