part_number,b_price,b_instock_qty,b_instock,b_discontinued,b_status,b_restock_date,b_restock_qty
wsd003,185,25,yes,yes,inactive,15-04-2024,271
wsd004,185,25,no,no,inactive,16-04-2024,172
wsd005,280,24,no,no,active,17-04-2024,842
wsd006,280,25,no,no,enabled,18-04-2024,698
wsd007,280,25,yes,yes,inactive,19-04-2024,836
wsd008,305,24,no,no,inactive,20-04-2024,727
wsd009,305,25,yes,no,enabled,21-04-2024,907
wsd010,305,25,no,no,active,22-04-2024,967
wsd011,305,25,no,yes,active,23-04-2024,160
wsd012,305,25,yes,yes,inactive,24-04-2024,812
wsd013,340,19,yes,yes,disabled,25-04-2024,210
wsd014,340,10,yes,yes,active,26-04-2024,526
wsd015,340,13,no,yes,inactive,27-04-2024,624
wsd016,340,24,no,yes,active,28-04-2024,414
wsd017,340,24,yes,no,inactive,29-04-2024,708
wpd010,245,25,yes,no,enabled,30-04-2024,486
wpd011,245,25,no,yes,disabled,01-05-2024,806
wpd012,245,25,yes,yes,active,02-05-2024,969
wpd013,245,25,yes,yes,inactive,03-05-2024,283
wpd014,245,25,yes,no,active,04-05-2024,367
msj000c,190,0,no,no,disabled,05-05-2024,883
msj003c,175,0,no,yes,enabled,06-05-2024,520
msj006c,160,0,yes,yes,disabled,07-05-2024,478
msj009c,510,0,no,no,inactive,08-05-2024,140
msj012c,455,0,yes,no,disabled,09-05-2024,977
msj015c,490,0,yes,yes,active,10-05-2024,819
mtk000c,75,0,no,no,active,11-05-2024,443
mtk002c,75,0,no,no,inactive,12-05-2024,10
mtk004c,75,0,yes,yes,inactive,13-05-2024,927
mtk006c,210,0,no,no,disabled,14-05-2024,403
mtk009c,240,0,no,yes,active,15-05-2024,70
mtk012c,125,0,no,yes,enabled,16-05-2024,290
mpd003c,140,0,yes,yes,active,17-05-2024,74
mpd006c,140,0,yes,yes,active,18-05-2024,869
mpd012c,195,0,no,no,active,19-05-2024,996
wbk000c,150,0,yes,no,active,20-05-2024,778
wbk003c,60,0,no,no,disabled,21-05-2024,406
wbk006c,275,0,yes,yes,active,22-05-2024,644
wbk009c,185,0,yes,no,enabled,23-05-2024,953
wbk012c,210,0,no,yes,active,24-05-2024,731
wsd000c,185,0,no,yes,inactive,25-05-2024,384
wsd005c,280,0,no,no,disabled,26-05-2024,482
wsd008c,305,0,no,no,active,27-05-2024,459
wsd013c,340,0,yes,no,active,28-05-2024,73
wpd000c,185,0,no,yes,enabled,29-05-2024,348
wpd005c,210,0,yes,no,active,30-05-2024,400
wpd010c,245,0,yes,yes,inactive,31-05-2024,772
mpd000c,140,0,no,yes,disabled,01-06-2024,688
mpd000,140,19,yes,no,inactive,02-06-2024,51
mpd001,140,16,no,no,inactive,03-06-2024,706
mpd002,140,19,no,no,inactive,04-06-2024,484
mpd00336,140,10,no,no,disabled,05-06-2024,381
mpd00338,140,39,yes,yes,enabled,06-06-2024,327
mpd00331,140,-27,no,yes,inactive,07-06-2024,207
mpd00328,140,25,yes,no,inactive,08-06-2024,844
mpd00028,140,20,no,no,inactive,09-06-2024,873
mpd00031,140,20,no,no,inactive,10-06-2024,849
mpd00036,140,20,no,yes,disabled,11-06-2024,563
mpd00038,140,20,yes,yes,enabled,12-06-2024,30
mtk004xs,75,18,yes,no,disabled,13-06-2024,815
mtk004m,75,22,yes,yes,active,14-06-2024,42
mtk002s,75,22,no,yes,enabled,15-06-2024,186
mtk002xs,75,22,no,yes,active,16-06-2024,832
mtk002xl,75,22,no,yes,active,17-06-2024,539
mtk004xl,160,4,yes,no,inactive,18-06-2024,374
mtk000l,75,20,no,no,enabled,19-06-2024,810
mtk000xl,75,20,yes,yes,active,20-06-2024,280
mtk000xs,75,20,yes,no,active,21-06-2024,462
mtk006xs,210,10,no,no,disabled,22-06-2024,476
mtk006xl,210,10,no,yes,enabled,23-06-2024,30
mtk009xs,240,21,yes,no,active,24-06-2024,718
mtk009xl,240,21,yes,yes,enabled,25-06-2024,33
mtk012xs,125,23,yes,no,inactive,26-06-2024,86
mtk012xl,125,23,no,yes,enabled,27-06-2024,425
msj000xs,190,8,yes,no,enabled,28-06-2024,920
msj000xl,190,18,yes,no,active,29-06-2024,877
msj003xs,175,17,no,no,inactive,30-06-2024,118
