lv_part_number,lv_instock_qty,lv_instock,lv_restock_date,lv_restock_qty,lv_status,lv_discontinued_products
LV2501099,100,no,10-04-2024,39,enabled,yes
Pmp00238,33,no,11-04-2024,17,enabled,yes
Pms000xs,33,no,12-04-2024,1,inactive,no
Pms000s,33,yes,13-04-2024,28,inactive,yes
Pms000m,33,yes,14-04-2024,3,enabled,yes
Pms000l,33,no,15-04-2024,41,enabled,no
Pms000xl,33,yes,16-04-2024,49,inactive,yes
Pms002xs,33,no,17-04-2024,38,disabled,no
Pms002s,33,no,18-04-2024,30,disabled,yes
Pms002m,33,yes,19-04-2024,50,active,yes
Pms002l,33,yes,20-04-2024,48,disabled,no
Pms002xl,33,no,21-04-2024,35,inactive,yes
Pms003xs,33,no,22-04-2024,49,active,yes
Pms003s,33,no,23-04-2024,47,inactive,yes
Pms003m,32,no,24-04-2024,19,active,no
Pms003l,33,yes,25-04-2024,47,enabled,no
Pms003xl,33,no,26-04-2024,46,active,yes
Pms004xs,33,yes,27-04-2024,36,inactive,no
Pms004s,33,no,28-04-2024,35,inactive,yes
Pms004m,33,yes,29-04-2024,41,enabled,yes
Pms004l,33,no,30-04-2024,39,active,yes
Pms004xl,33,no,01-05-2024,5,inactive,no
Pms005xs,33,no,02-05-2024,2,active,no
Pms005s,33,no,03-05-2024,22,enabled,no
Pms005m,33,yes,04-05-2024,34,inactive,yes
Pms005l,33,no,05-05-2024,2,enabled,yes
Pms005xl,33,yes,06-05-2024,21,disabled,no
Pmtk000xs,33,no,07-05-2024,35,enabled,yes
Pmtk000s,33,no,08-05-2024,45,active,no
Pmtk000m,33,yes,09-05-2024,1,disabled,yes
Pmtk000l,33,no,10-05-2024,19,inactive,no
Pmtk000xl,33,yes,11-05-2024,13,disabled,no
Pmtk001xs,33,no,12-05-2024,22,inactive,no
Pmtk001s,33,yes,13-05-2024,47,enabled,yes
Pmtk001m,33,no,14-05-2024,28,enabled,no
Pmtk001l,33,yes,15-05-2024,19,inactive,no
Pmtk001xl,33,no,16-05-2024,20,active,yes
Pmtk004xs,33,yes,17-05-2024,8,disabled,yes
Pmtk004s,33,yes,18-05-2024,21,active,yes
Pmtk004m,33,yes,19-05-2024,12,active,yes
Pmtk004l,33,yes,20-05-2024,32,active,no
Pmtk004xl,33,no,21-05-2024,10,active,yes
Pmtk005xs,33,yes,22-05-2024,43,enabled,no
Pmtk005s,33,no,23-05-2024,17,active,yes
Pmtk005m,33,yes,24-05-2024,3,active,no
Pmtk005l,33,yes,25-05-2024,33,inactive,yes
Pmtk005xl,33,yes,26-05-2024,47,inactive,no
Pmtk006xs,33,no,27-05-2024,42,inactive,no
Pmtk006s,33,no,28-05-2024,50,inactive,no
Pmtk006m,33,yes,29-05-2024,4,active,no
Pmtk006l,33,no,30-05-2024,46,enabled,no
Pmtk006xl,33,yes,31-05-2024,32,disabled,yes
Pwb00026,33,yes,01-06-2024,15,active,no
Pwb00027,33,no,02-06-2024,48,disabled,no
Pwb00028,33,no,03-06-2024,43,active,no
Pwb00029,33,no,04-06-2024,41,enabled,no
Pwb00030,33,yes,05-06-2024,41,active,no
Pwb00031,33,yes,06-06-2024,15,inactive,yes
Pwb00032,33,no,07-06-2024,6,active,yes
Pwb00126,33,no,08-06-2024,2,active,yes
Pwb00127,33,yes,09-06-2024,7,active,no
Pwb00128,33,yes,10-06-2024,23,disabled,no
Pwb00129,33,no,11-06-2024,25,enabled,yes
Pwb00130,33,no,12-06-2024,43,inactive,yes
Pwb00131,33,yes,13-06-2024,29,active,no
Pwb00132,33,no,14-06-2024,7,active,yes
Pwb0030,33,no,15-06-2024,37,active,yes
Pwb0032,33,yes,16-06-2024,4,active,no
Pwb0034,33,no,17-06-2024,15,enabled,yes
Pwb0036,33,yes,18-06-2024,49,enabled,no
Pwb0038,33,no,19-06-2024,25,inactive,no
Pwb00310,33,no,20-06-2024,18,inactive,yes
Pwb00312,33,yes,21-06-2024,1,active,yes
Pwb00526,33,yes,22-06-2024,25,enabled,no
Pwb00527,33,no,23-06-2024,19,active,no
Pwb00528,33,yes,24-06-2024,19,disabled,yes
Pwb00529,32,yes,25-06-2024,27,disabled,yes
Pwb00530,33,no,26-06-2024,14,active,yes
Pwb00531,33,no,27-06-2024,19,active,no
Pwb00532,33,no,28-06-2024,11,inactive,no
Pwb00626,33,yes,29-06-2024,11,enabled,no
Pwb00627,33,no,30-06-2024,35,inactive,no
Pwb00628,33,no,01-07-2024,32,inactive,no
Pwb00629,33,no,02-07-2024,48,active,yes
Pwb00630,33,no,03-07-2024,14,inactive,yes
Pwb00631,33,no,04-07-2024,5,disabled,no
Pwb00632,33,yes,05-07-2024,9,active,no
Pwd0000,33,no,06-07-2024,35,active,yes
Pwd0002,33,no,07-07-2024,10,active,yes
Pwd0004,32,no,08-07-2024,19,disabled,no
Pwd0006,33,no,09-07-2024,44,disabled,yes
Pwd0008,33,no,10-07-2024,17,disabled,yes
Pwd00010,33,yes,11-07-2024,35,active,yes
Pwd00012,33,yes,12-07-2024,49,active,no
Pwd0010,33,yes,13-07-2024,16,disabled,no
Pwd0012,32,yes,14-07-2024,38,active,no
Pwd0014,33,no,15-07-2024,14,enabled,yes
Pwd0016,33,no,16-07-2024,21,inactive,yes
Pwd0018,33,yes,17-07-2024,24,enabled,yes
Pwd00110,33,no,18-07-2024,28,active,no
Pwd00112,33,no,19-07-2024,41,active,no
